,latitude,longitude
0,41.8055,-89.7054
1,34.2619,-118.582
2,36.3698,-80.7101
3,39.2601,-121.6923
4,25.6574,-80.3627
5,34.5484,-87.0004
6,41.4482,-85.2609
7,30.322,-93.2111
8,42.8742,-95.2512
9,,
10,37.2668,-95.559
11,39.8647,-86.1181
12,46.0734,-94.5005
13,30.6561,-91.1358
14,37.6775,-113.0619
15,33.9853,-118.3707
16,42.4906,-83.1366
17,40.0809,-91.3733
18,28.6214,-81.4294
19,36.4169,-77.8528
20,44.9197,-92.9439
21,41.8581,-84.338
22,27.0074,-82.0163
23,42.2742,-88.1926
24,44.6749,-93.2578
25,,
26,42.0765,-87.7246
27,40.3434,-94.8735
28,30.1716,-95.4985
29,38.7631,-89.6789
30,29.5224,-95.1879
31,38.8069,-90.3401
32,36.1428,-80.3069
33,25.7022,-80.2978
34,45.456,-122.7996
35,44.0582,-121.3153
36,30.1743,-97.8225
37,33.7669,-118.3806
38,45.0788,-93.1872
39,,
40,40.7111,-89.6324
41,42.944,-85.6213
42,47.5614,-122.1552
43,26.0596,-80.4146
44,42.9549,-87.9447
45,42.0188,-91.6612
46,31.2811,-85.7305
47,41.5994,-86.7077
48,47.5746,-122.3934
49,32.5007,-94.7405
50,41.3634,-90.3849
51,35.9781,-78.8439
52,36.144,-80.2376
53,25.942,-80.2456
54,37.7257,-88.9294
55,37.6875,-122.4388
56,33.8428,-117.9546
57,31.8368,-85.7998
58,32.7244,-96.6755
59,40.5647,-85.7656
60,29.181,-95.4467
61,32.1149,-81.252
62,34.1679,-97.6029
63,32.5316,-97.309
64,32.8721,-84.6312
65,35.1149,-80.705
66,27.2666,-82.5163
67,39.0312,-90.3011
68,33.7875,-117.8776
69,37.8858,-87.07700000000001
70,39.4877,-121.4698
71,34.2696,-80.59100000000002
72,38.2674,-85.6237
73,35.4241,-83.4392
74,32.7153,-117.1573
75,42.5848,-83.2821
76,39.2051,-76.8322
77,41.6582,-87.6795
78,33.6021,-117.8743
79,26.1848,-80.2406
80,43.1052,-89.5073
81,27.5382,-82.5006
82,32.9865,-96.686
83,,
84,33.8359,-117.9086
85,34.8139,-85.5019
86,33.8669,-118.0686
87,37.0634,-88.6632
88,26.3464,-80.1564
89,32.4178,-99.7214
90,39.5296,-119.8138
91,36.4449,-81.2606
92,38.1593,-85.77799999999998
93,33.7408,-84.2632
94,43.2297,-123.2343
95,,
96,32.7093,-114.4905
97,37.076,-94.4071
98,27.3111,-82.5195
99,33.9631,-118.3941
100,27.8918,-82.7248
101,,
102,33.8748,-118.2402
103,34.7855,-81.8492
104,32.8565,-96.5999
105,34.0637,-118.4408
106,30.5661,-90.1098
107,30.1637,-81.7291
108,46.4494,-97.9091
109,33.7399,-117.0151
110,31.889,-102.3548
111,33.6595,-97.3624
112,34.9336,-79.7666
113,37.9691,-122.5105
114,36.0564,-115.078
115,30.6817,-88.2945
116,30.5149,-90.5964
117,35.3922,-97.5567
118,29.7738,-95.598
119,61.206,-149.8101
120,,
121,34.929,-86.9739
122,27.1656,-80.2916
123,28.1913,-82.756
124,33.1968,-117.2831
125,,
126,29.2833,-81.0882
127,44.9996,-93.3005
128,30.0056,-90.0644
129,37.669,-97.2802
130,28.808000000000003,-81.8858
131,41.993,-87.7596
132,33.3363,-111.9197
133,41.6621,-87.7927
134,40.5674,-89.6243
135,43.0579,-83.3332
136,34.1109,-118.1547
137,43.2952,-86.279
138,42.2595,-88.8509
139,30.1743,-97.8225
140,42.9414,-83.2891
141,64.8544,-147.8469
142,48.2011,-122.378
143,,
144,27.4678,-82.512
145,42.5648,-83.0701
146,38.9536,-92.745
147,39.9975,-85.7466
148,38.6554,-121.2611
149,29.3222,-81.0584
150,41.359,-85.0468
151,45.1446,-122.8583
152,27.5155,-99.4986
153,34.1514,-118.4603
154,29.8297,-95.2879
155,36.18,-94.528
156,32.2901,-106.7539
157,29.391,-81.8551
158,31.9879,-88.3367
159,39.7458,-121.8444
160,46.0062,-86.2555
161,36.1052,-86.6591
162,34.6179,-98.4552
163,46.8563,-114.0252
164,35.848,-78.6317
165,34.8497,-82.4538
166,28.5399,-81.3727
167,30.4207,-90.0589
168,33.413000000000004,-82.1337
169,,
170,32.7914,-83.679
171,42.6797,-84.5772
172,28.5978,-81.3534
173,39.0082,-84.5977
174,33.1219,-97.0237
175,37.8254,-121.6236
176,41.8643,-85.1838
177,38.1504,-121.8443
178,33.9551,-118.2901
179,28.5644,-81.8745
180,47.3929,-122.3129
181,33.5159,-90.1726
182,36.0088,-75.6757
183,35.7485,139.3485
184,37.6372,-96.3695
185,32.8239,-117.1965
186,28.1145,-81.6201
187,46.8551,-92.0074
188,37.745,-122.4383
189,38.8558,-104.7134
190,35.1204,-76.9842
191,33.4983,-117.0958
192,46.1709,-111.5899
193,32.6647,-96.8384
194,28.8035,-81.5323
195,35.3935,-119.1205
196,34.3562,-83.8882
197,42.4261,-83.1951
198,29.9871,-90.1695
199,,
200,34.1819,-83.9024
201,43.0579,-83.3332
202,46.9939,-122.743
203,33.3917,-111.9249
204,32.7928,-116.9665
205,28.0194,-81.6212
206,46.5934,-120.5311
207,29.5173,-95.0963
208,32.697,-117.1153
209,34.4133,-118.0917
210,35.1347,-106.6427
211,37.2685,-121.849
212,34.0606,-116.5656
213,26.0984,-80.1822
214,39.2303,-86.4692
215,36.022,-79.7821
216,35.6757,-81.0503
217,31.81,-86.6229
218,30.3949,-86.4692
219,35.3219,-94.4028
220,35.3039,-119.1056
221,37.5605,-121.9999
222,37.72,-89.2158
223,41.6077,-87.7542
224,,
225,48.7508,-111.9708
226,27.8163,-81.5139
227,27.4072,-82.5303
228,29.5189,-98.6006
229,33.857,-84.21600000000002
230,26.2535,-80.1775
231,33.7706,-118.182
232,35.9203,-79.0372
233,44.9684,-93.0488
234,37.2458,-121.8306
235,38.8014,-90.5065
236,42.556,-87.8705
237,38.5495,-90.3811
238,32.4818,-96.3925
239,37.7569,-100.0241
240,27.1656,-80.2916
241,37.6502,-98.73
242,38.0315,-121.2589
243,38.7667,-93.7273
244,33.7524,-117.9939
245,34.9262,-95.7592
246,44.9138,-93.485
247,33.6625,-117.5903
248,33.9067,-118.0101
249,45.6605,-118.7831
250,33.9653,-118.2727
251,25.9476,-80.2778
252,39.1793,-89.6499
253,33.3703,-112.5838
254,28.4797,-82.5562
255,38.7159,-121.3648
256,32.9673,-96.9805
257,31.9214,-92.6366
258,41.8202,-86.2368
259,35.5335,-97.9591
260,39.0461,-87.1723
261,39.1237,-121.6611
262,8.9733,-79.5556
263,33.8656,-84.0725
264,44.9995,-93.0969
265,33.5849,-84.3247
266,44.2504,-85.43
267,38.6157,-121.5053
268,44.6611,-88.2634
269,34.9116,-86.7
270,41.8276,-83.8773
271,45.07899999999999,-83.4602
272,33.8123,-84.2819
273,31.7677,-106.3016
274,38.7859,-94.244
275,42.2308,-88.3324
276,33.9382,-84.5403
277,35.2172,-81.1252
278,29.6826,-95.1222
279,40.7439,-88.884
280,36.7863,-119.8286
281,38.8865,-94.8204
282,30.2077,-92.0656
283,37.814,-121.966
284,42.3669,-82.9938
285,36.3301,-78.3981
286,37.6196,-122.4816
287,33.3984,-111.6513
288,43.0712,-87.9084
289,33.9418,-84.0706
290,41.5825,-87.805
291,,
292,41.7411,-87.6543
293,39.1193,-121.0938
294,30.4035,-88.8971
295,30.4873,-87.1872
296,32.7492,-96.8389
297,35.1104,-106.5781
298,35.106,-114.5947
299,36.0383,-78.8764
300,44.2773,-88.3976
301,42.7769,-82.5437
302,34.1144,-117.6583
303,35.1663,-101.8868
304,40.1073,-88.2788
305,37.7917,-122.4186
306,35.1313,-84.875
307,47.4235,-123.1739
308,28.1145,-81.6201
309,26.3446,-80.2109
310,39.0382,-94.5929
311,35.9359,-79.9395
312,32.9657,-96.8825
313,43.8967,-89.8219
314,,
315,42.5512,-82.9167
316,,
317,32.754,-97.1348
318,36.4946,-87.6804
319,43.39100000000001,-95.5204
320,33.9282,-116.8899
321,21.4228,-157.8115
322,32.392,-99.7746
323,43.072,-83.8424
324,43.2329,-86.1885
325,41.9798,-88.0857
326,46.0153,-95.6951
327,38.7346,-121.234
328,32.5165,-94.3251
329,35.9815,-78.5392
330,42.8892,-87.9027
331,36.4461,-77.6731
332,36.2178,-85.5423
333,35.4596,-86.7812
334,38.5347,-121.4451
335,39.0204,-119.9114
336,27.817,-82.6264
337,33.7751,-89.8087
338,42.294,-83.3146
339,19.5935,-155.438
340,35.2527,-85.163
341,,
342,38.9087,-90.1568
343,43.0828,-88.0269
344,47.0822,-122.186
345,37.3855,-122.088
346,41.5102,-87.7406
347,35.6156,-87.038
348,36.2098,-86.3024
349,43.0321,-89.4993
350,42.3363,-122.8398
351,36.0318,-79.4889
352,42.5679,-89.5026
353,25.7559,-80.2013
354,42.2165,-88.0769
355,42.3847,-82.9244
356,37.7383,-121.4345
357,41.908,-83.4719
358,33.7416,-116.973
359,29.1281,-82.2975
360,33.6021,-117.8743
361,30.4411,-95.7097
362,36.5399,-82.7252
363,41.7257,-87.556
364,36.3445,-82.2015
365,,
366,33.2131,-117.2243
367,44.3229,-69.9576
368,33.6768,-86.8717
369,37.8601,-122.4946
370,44.9089,-123.9888
371,29.412,-95.2515
372,35.2174,-82.4178
373,25.9286,-80.183
374,42.0095,-87.6689
375,,
376,44.3056,-96.7914
377,46.9209,-96.8318
378,42.1292,-89.2659
379,37.9591,-87.5293
380,32.2519,-110.82
381,42.272,-84.9583
382,34.7131,-117.8783
383,39.6125,-105.1746
384,38.4592,-122.6393
385,40.4001,-86.8602
386,42.9822,-88.0946
387,34.1173,-117.4378
388,40.1779,-105.1009
389,,
390,34.6478,-92.3849
391,35.8994,-76.5809
392,35.0842,-92.4236
393,32.411,-88.3611
394,,
395,30.2818,-94.2191
396,33.6324,-112.1118
397,33.065,-106.0108
398,34.5915,-98.3698
399,,
400,34.1074,-118.3652
401,42.737,-85.6635
402,25.7825,-80.2341
403,34.7789,-86.5438
404,43.0135,-85.6027
405,44.3045,-120.8336
406,35.1355,-80.7669
407,39.1157,-94.6271
408,33.8669,-118.0686
409,42.2451,-85.7943
410,42.0088,-92.3314
411,39.8286,-105.0655
412,25.5968,-80.4046
413,38.5355,-90.407
414,39.6985,-104.2019
415,28.9295,-82.4892
416,42.3349,-83.1801
417,34.7784,-111.7851
418,47.7684,-122.1271
419,39.8259,-104.9113
420,37.4425,-100.0088
421,37.7007,-97.4383
422,37.296,-121.8939
423,35.9094,-94.9787
424,,
425,45.3099,-122.9685
426,40.0325,-86.9074
427,37.0662,-122.0618
428,28.7525,-97.0338
429,43.0142,-88.4726
430,33.1968,-117.2831
431,33.2407,-117.3025
432,38.6709,-121.1529
433,41.4906,-90.498
434,39.0401,-94.4951
435,29.4562,-81.3244
436,34.2656,-118.7653
437,31.9508,-94.866
438,33.7278,-84.4232
439,34.1016,-118.0537
440,39.1663,-121.5105
441,33.9432,-117.9927
442,36.7662,-90.4166
443,44.5316,-122.8821
444,47.6621,-122.6981
